,tweet
22,"['sso_goboaxrt', 'ssalud_mxest', 'mart', 'arribaron', '58mil', 'vacuna', 'envasada', 'de', 'pfizerla', 'medidassanitaria', 'aprendida', 'ant', 'covid19', 'contribuyen', 'la', 'disminución', 'de', 'infeccion', 'por', 'otro', 'viru', 'respiratoriosaunqu', 'ya', 'te', 'haya', 'vacunadocontinúa', 'con', 'e', 'http', 'co', 'kmdk76d9ud']"
23,"['el', 'emprendimiento', 'es', 'emocionanteapasionado', 'con', 'una', 'complejidad', 'innegablepero', 'el', 'covid19', 'hizo', 'el', 'camino', 'má', 'cuesta', 'arriba', 'para', 'la', 'mujer', 'que', 'desean', 'incursionar', 'en', 'est', 'mundo', 'danielafeito', 'no', 'habla', 'má', 'sobr', 'est', 'tema', 'en', 'http', 'co', 'bjow8inapa']"
24,"['benchtoday', 'satisfi', 'govt', 'gujarat', 'advertisementspleas', 'translat', 'thiscan', 'also', 'send', 'counselsthi', 'format', 'supremecourt', 'covid19']"
25,"['sérieux', 'covid19http', 'co', 'pvgzygnsxu']"
26,"['', 'jonathaneley', 'make', 'perfect', 'sensea', 'everyon', 'know', 'covid19', 'variant', 'transmiss', '1am', '']"
27,"['', 'sarah_wyss', 'die', 'spitäler', 'orientieren', 'sich', 'stetig', 'gegenseitig', 'über', 'freie', 'ip', 'kapazitäten', 'und', 'verlegen', 'patientinnen', 'bei', 'bedarfweil', 'bund', 'und', 'kanton', 'da', 'nach', 'bald', 'zwei', 'jahren', 'covid19', 'immer', 'noch', 'nicht', 'schaffen', '']"
28,"['soit', 'sars_cov_est', 'dangereux', 'gtvaccin', 'obligatoir', 'soit', 'covid19', 'covid_19', '']"
29,"['', 'coronaviru', 'covid19', 'covid_19', 'sarscov', 'covid19world', 'sar', 'cov', 'omicron', 'variant', 'page', 'last', 'edit', '1decemb', '2021at', '07', '37', 'utc', 'http', 'co', 'tujhntnoxn']"
30,"['en', 'corseon', 'se', 'protègeon', 'se', 'vaccin', 'journé', 'délocalisé', 'de', 'vaccin', 'covid19', 'aujourd', 'hui', 'serra', 'di', 'ferro', 'personnesprotégé', 'contr', 'le', 'form', 'grave', 'du', 'sars_cov_', 'http', 'co', '6pa9hywpaw']"
31,"['𝐔', '𝐋𝐓𝐈𝐌𝐀', '𝐇𝐎𝐑', 'covid19', 'empeoran', 'de', 'nuevo', 'lo', 'indicador', 'epidemiológico', 'en', 'el', 'baixllobregat', 'el', '𝐫𝐢𝐞𝐬𝐠𝐝𝐫𝐞𝐛𝐫𝐨𝐭se', 'sitúa', 'en', 'lo', '60punto', 'la', '𝐯𝐞𝐥𝐨𝐜𝐢𝐝𝐚𝐝𝐫𝐞𝐩𝐫𝐨𝐝𝐮𝐜𝐜𝐢𝐨', 'del', 'viru', 'es', '1', '4', 'http', 'co', '04vkve78oshttp', 'co', 'aqhdro675l']"
32,"['', 'hhepplewhit', 'wellal', 'opposit', 'parti', 'never', 'accept', 'brexitwith', 'dirti', 'game', 'play', '5yrswish', 'keep', 'us', 'eu', 'yet', 'borisjohnson', 'plough', 'us', 'line', 'sinceregardless', 'covid19ha', 'got', 'jobno', 'borisno', 'vote', 'conserv', 'backbori']"
